date,time,PM10
01/01/2017,00:00,22
01/01/2017,01:00,25
01/01/2017,02:00,46
01/01/2017,03:00,4
01/01/2017,04:00,20
01/01/2017,05:00,10
01/01/2017,06:00,7
01/01/2017,07:00,6
01/01/2017,08:00,14
01/01/2017,09:00,11
01/01/2017,10:00,12
01/01/2017,11:00,11
01/01/2017,12:00,13
01/01/2017,13:00,12
01/01/2017,14:00,18
01/01/2017,15:00,19
01/01/2017,16:00,12
01/01/2017,17:00,19
01/01/2017,18:00,10
01/01/2017,19:00,18
01/01/2017,20:00,19
01/01/2017,21:00,17
01/01/2017,22:00,24
01/01/2017,23:00,11
02/01/2017,00:00,22
02/01/2017,01:00,8
02/01/2017,02:00,16
02/01/2017,03:00,23
02/01/2017,04:00,8
02/01/2017,05:00,7
02/01/2017,06:00,12
02/01/2017,07:00,20
02/01/2017,08:00,8
02/01/2017,09:00,18
02/01/2017,10:00,7
02/01/2017,11:00,18
02/01/2017,12:00,16
02/01/2017,13:00,14
02/01/2017,14:00,10
02/01/2017,15:00,13
02/01/2017,16:00,25
02/01/2017,17:00,28
02/01/2017,18:00,17
02/01/2017,19:00,21
02/01/2017,20:00,18
02/01/2017,21:00,27
02/01/2017,22:00,16
02/01/2017,23:00,13
03/01/2017,00:00,25
03/01/2017,01:00,28
03/01/2017,02:00,27
03/01/2017,03:00,15
03/01/2017,04:00,22
03/01/2017,05:00,13
03/01/2017,06:00,12
03/01/2017,07:00,17
03/01/2017,08:00,16
03/01/2017,09:00,19
03/01/2017,10:00,13
03/01/2017,11:00,20
03/01/2017,12:00,22
03/01/2017,13:00,8
03/01/2017,14:00,11
03/01/2017,15:00,13
03/01/2017,16:00,12
03/01/2017,17:00,8
03/01/2017,18:00,6
03/01/2017,19:00,17
03/01/2017,20:00,13
03/01/2017,21:00,16
03/01/2017,22:00,16
03/01/2017,23:00,15
04/01/2017,00:00,12
04/01/2017,01:00,6
04/01/2017,02:00,6
04/01/2017,03:00,22
04/01/2017,04:00,21
04/01/2017,05:00,13
04/01/2017,06:00,11
04/01/2017,07:00,11
04/01/2017,08:00,20
04/01/2017,09:00,20
04/01/2017,10:00,15
04/01/2017,11:00,9
04/01/2017,12:00,28
04/01/2017,13:00,78
04/01/2017,14:00,68
04/01/2017,15:00,40
04/01/2017,16:00,65
04/01/2017,17:00,55
04/01/2017,18:00,37
04/01/2017,19:00,55
04/01/2017,20:00,54
04/01/2017,21:00,54
04/01/2017,22:00,76
04/01/2017,23:00,27
05/01/2017,00:00,32
05/01/2017,01:00,22
05/01/2017,02:00,75
05/01/2017,03:00,99
05/01/2017,04:00,133
05/01/2017,05:00,148
05/01/2017,06:00,115
05/01/2017,07:00,50
05/01/2017,08:00,27
05/01/2017,09:00,25
05/01/2017,10:00,38
05/01/2017,11:00,65
05/01/2017,12:00,474
05/01/2017,13:00,163
05/01/2017,14:00,59
05/01/2017,15:00,51
05/01/2017,16:00,76
05/01/2017,17:00,146
05/01/2017,18:00,129
05/01/2017,19:00,105
05/01/2017,20:00,78
05/01/2017,21:00,82
05/01/2017,22:00,54
05/01/2017,23:00,62
06/01/2017,00:00,65
06/01/2017,01:00,41
06/01/2017,02:00,35
06/01/2017,03:00,18
06/01/2017,04:00,24
06/01/2017,05:00,25
06/01/2017,06:00,33
06/01/2017,07:00,29
06/01/2017,08:00,48
06/01/2017,09:00,32
06/01/2017,10:00,33
06/01/2017,11:00,36
06/01/2017,12:00,35
06/01/2017,13:00,34
06/01/2017,14:00,25
06/01/2017,15:00,23
06/01/2017,16:00,19
06/01/2017,17:00,15
06/01/2017,18:00,15
06/01/2017,19:00,13
06/01/2017,20:00,23
06/01/2017,21:00,26
06/01/2017,22:00,12
06/01/2017,23:00,18
07/01/2017,00:00,21
07/01/2017,01:00,9
07/01/2017,02:00,15
07/01/2017,03:00,8
07/01/2017,04:00,11
07/01/2017,05:00,9
07/01/2017,06:00,5
07/01/2017,07:00,10
07/01/2017,08:00,32
07/01/2017,09:00,29
07/01/2017,10:00,46
07/01/2017,11:00,37
07/01/2017,12:00,3
07/01/2017,13:00,13
07/01/2017,14:00,18
07/01/2017,15:00,30
07/01/2017,16:00,17
07/01/2017,17:00,23
07/01/2017,18:00,21
07/01/2017,19:00,46
07/01/2017,20:00,22
07/01/2017,21:00,16
07/01/2017,22:00,39
07/01/2017,23:00,17
08/01/2017,00:00,15
08/01/2017,01:00,5
08/01/2017,02:00,7
08/01/2017,03:00,15
08/01/2017,04:00,11
08/01/2017,05:00,8
08/01/2017,06:00,11
08/01/2017,07:00,9
08/01/2017,08:00,5
08/01/2017,09:00,10
08/01/2017,10:00,17
08/01/2017,11:00,40
08/01/2017,12:00,17
08/01/2017,13:00,26
08/01/2017,14:00,33
08/01/2017,15:00,25
08/01/2017,16:00,22
08/01/2017,17:00,36
08/01/2017,18:00,21
08/01/2017,19:00,12
08/01/2017,20:00,26
08/01/2017,21:00,21
08/01/2017,22:00,34
08/01/2017,23:00,20
09/01/2017,00:00,6
09/01/2017,01:00,7
09/01/2017,02:00,10
09/01/2017,03:00,6
09/01/2017,04:00,-1
09/01/2017,05:00,5
09/01/2017,06:00,11
09/01/2017,07:00,16
09/01/2017,08:00,29
09/01/2017,09:00,26
09/01/2017,10:00,26
09/01/2017,11:00,22
09/01/2017,12:00,9
09/01/2017,13:00,5
09/01/2017,14:00,33
09/01/2017,15:00,41
09/01/2017,16:00,20
09/01/2017,17:00,31
09/01/2017,18:00,21
09/01/2017,19:00,30
09/01/2017,20:00,27
09/01/2017,21:00,25
09/01/2017,22:00,28
09/01/2017,23:00,45
10/01/2017,00:00,21
10/01/2017,01:00,26
10/01/2017,02:00,41
10/01/2017,03:00,38
10/01/2017,04:00,30
10/01/2017,05:00,34
