date,pm10
01/01/2018 00:00,23.25
01/01/2018 01:00,22
01/01/2018 02:00,23.5
01/01/2018 03:00,18
01/01/2018 04:00,14.5
01/01/2018 05:00,13
01/01/2018 06:00,13.75
01/01/2018 07:00,15
01/01/2018 08:00,14.5
01/01/2018 09:00,22
01/01/2018 10:00,22.25
01/01/2018 11:00,24.25
01/01/2018 12:00,28.25
01/01/2018 13:00,28
01/01/2018 14:00,25
01/01/2018 15:00,24
01/01/2018 16:00,21
01/01/2018 17:00,19.5
01/01/2018 18:00,16.5
01/01/2018 19:00,21.5
01/01/2018 20:00,20.5
01/01/2018 21:00,16
01/01/2018 22:00,23.5
01/01/2018 23:00,18.25
02/01/2018 00:00,16
02/01/2018 01:00,18
02/01/2018 02:00,26
02/01/2018 03:00,34.75
02/01/2018 04:00,42.5
02/01/2018 05:00,39
02/01/2018 06:00,36.25
02/01/2018 07:00,43.25
02/01/2018 08:00,35.5
02/01/2018 09:00,39.25
02/01/2018 10:00,45.5
02/01/2018 11:00,42.25
02/01/2018 12:00,35.25
02/01/2018 13:00,24.75
02/01/2018 14:00,11
02/01/2018 15:00,20
02/01/2018 16:00,31.25
02/01/2018 17:00,39.25
02/01/2018 18:00,39.25
02/01/2018 19:00,28
02/01/2018 20:00,25.75
02/01/2018 21:00,18.25
02/01/2018 22:00,17.5
02/01/2018 23:00,22.5
03/01/2018 00:00,24.75
03/01/2018 01:00,27
03/01/2018 02:00,27.5
03/01/2018 03:00,28
03/01/2018 04:00,26
03/01/2018 05:00,30.75
03/01/2018 06:00,33
03/01/2018 07:00,25.5
03/01/2018 08:00,30.25
03/01/2018 09:00,31.75
03/01/2018 10:00,33.5
03/01/2018 11:00,32.25
03/01/2018 12:00,33.5
03/01/2018 13:00,33.25
03/01/2018 14:00,30.25
03/01/2018 15:00,36.25
03/01/2018 16:00,35.75
03/01/2018 17:00,44.25
03/01/2018 18:00,52
03/01/2018 19:00,47
03/01/2018 20:00,47.5
03/01/2018 21:00,41.25
03/01/2018 22:00,43.25
03/01/2018 23:00,37.75
04/01/2018 00:00,40.75
04/01/2018 01:00,50.75
04/01/2018 02:00,48.5
04/01/2018 03:00,53.75
04/01/2018 04:00,54.25
04/01/2018 05:00,52.5
04/01/2018 06:00,61
04/01/2018 07:00,57.5
04/01/2018 08:00,61.5
04/01/2018 09:00,46.75
04/01/2018 10:00,28.5
04/01/2018 11:00,15.75
04/01/2018 12:00,28.75
04/01/2018 13:00,38
04/01/2018 14:00,43
